case_path	baseline_category	baseline_reason_unverified	owner_title	owner_url	local_status
_01_utility/_01_sqlx/bug_cubridsus2018	C	';run' session command loses statement history ('ERROR: No statement to execute.')	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_01_utility/_11_killtran/itrack_10002	A	killtran output has no 'cub_cas' program name so TC's kill-by-username loop never triggers	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_01_utility/_14_lockdb/itrack_10001	C	'SET TRANSACTION ISOLATION LEVEL' no longer prints the 'Isolation level set to: X' confirmation line	CS·CCI·접속 오류 TC 계열 — 유틸 접속·재시도·결과 정합성	https://github.com/xmilex-git/workspace/issues/227	recheck_required
_01_utility/_17_loaddb/itrack_10009	NEW		loaddb·쿼리 결과·관리 유틸 TC 계열 — serial·덤프·시맨틱 정합성	https://github.com/xmilex-git/workspace/issues/230	recheck_required
_01_utility/_38_csql/_enhance_csql03	A	csql --sysadm self-kill (;k / ;k 1 / ;res) sequence no longer produces the expected 1 ERROR line	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_01_utility/_38_csql/csql_checkpoint	NEW		csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_01_utility/_38_csql/csql_commit_rollback	NEW		csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_01_utility/_38_csql/csql_hist	C	communication histogram session commands (;.h on / ;xr / ;.x) not functional in thin csql	csql histogram·드라이버 상세 계측 — 세션 귀속·권한·초기화 복구	https://github.com/xmilex-git/workspace/issues/224	recheck_required
_01_utility/_38_csql/csql_hist_01	C	communication histogram session commands (;.h on / ;xr / ;.x) not functional in thin csql	csql histogram·드라이버 상세 계측 — 세션 귀속·권한·초기화 복구	https://github.com/xmilex-git/workspace/issues/224	recheck_required
_01_utility/_38_csql/csql_history	C	csql statement-history session command (;run/;history family) behavior differs in thin client	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_01_utility/_38_csql/csql_kill	A	csql ';k' self/other-session kill semantics differ without separate CAS process	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_01_utility/_38_csql/csql_restart	NEW		csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_01_utility/_40_broker/broker	A	cubrid_broker add/drop/restart <broker> rejected with 'is a direct-handoff front (no CAS pool)'; broker_log_top on nonexistent CAS sql.log	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_03_itrack/itrack_1001685	B	direct CS-mode db_restart() (libcubridcs, bypasses broker) fails with bare 'error db_restart()', no further diagnostic text captured in log	CS·CCI·접속 오류 TC 계열 — 유틸 접속·재시도·결과 정합성	https://github.com/xmilex-git/workspace/issues/227	recheck_required
_03_itrack/itrack_1002718	E	block_ddl_statement / block_nowhere_statement parameters no longer block the statement (expected ERROR, got 'Execute OK')	CI test_shell 1차 안정화 — 제품 수정 검증과 잔여 TC 계열 이관	https://github.com/xmilex-git/workspace/issues/211	verified_pass_d1cf63b06
_04_misc/_05_query_cache/itrack_10001	C	'Histogram commands are not supported by this csql.' — ;.h on/;xr/;.x no-ops, Num_data_page_fetches never printed	csql histogram·드라이버 상세 계측 — 세션 귀속·권한·초기화 복구	https://github.com/xmilex-git/workspace/issues/224	recheck_required
_04_misc/_05_query_cache/itrack_10002	C	';.h on' silently a no-op in non-interactive (heredoc) csql; no Num_data_page_fetches ever printed	csql histogram·드라이버 상세 계측 — 세션 귀속·권한·초기화 복구	https://github.com/xmilex-git/workspace/issues/224	recheck_required
_04_misc/_05_query_cache/itrack_10003	C	'Histogram commands are not supported by this csql.' (multiple occurrences)	csql histogram·드라이버 상세 계측 — 세션 귀속·권한·초기화 복구	https://github.com/xmilex-git/workspace/issues/224	recheck_required
