case	baseline_status	action	reason	validation	evidence
_01_utility/_11_killtran/itrack_10002	FAIL @02b9bb4b0/2c2c55cae	migrate	actual JDBC client identity	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_01_utility/_38_csql/_enhance_csql03	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_01_utility/_38_csql/csql_kill	FAIL @02b9bb4b0/2c2c55cae	product fix	"kill fold e23e8b130 (thread_kill_tran_index SERVER_MODE); the only remaining NOK cause was the dropped "";killtran"" status text (thin body csql_Tty_fp NULL) — fixed by upstream cas-merge 30937a958 (now the base). ""server connection lost"" in the trace is the VICTIM csql stderr interleaved by the harness, not the killer (gate4 probe2: 8 repetitions, killer output.log never shows it)."	gate5 pending on rebased head	gate4/probe2, gate4/probe
_01_utility/_40_broker/broker	FAIL @02b9bb4b0/2c2c55cae	migrate	TC 6eec636fd: refusal asserted for add/drop/restart; real session sql log for log tools	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_05_addition/bug_xdbms_sus1545	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_05_addition/bug_xdbms_sus1937	FAIL @02b9bb4b0/2c2c55cae	migrate	broker status column layout (HANDOFFS) in answer	R4 NOK	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_05_addition/bug_xdbms_sus1964	PASS @02b9bb4b0/2c2c55cae	pass	passed on baseline 02b9bb4b0/2c2c55cae, no change	PASS @02b9bb4b0/2c2c55cae (wf223-repro report_cases.tsv)	
_06_issues/_10_1h/bug_3734	FAIL @02b9bb4b0/f926e0ee6 (original case unchanged)	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_11_1h/bug_bts_4321_1	FAIL @02b9bb4b0/2c2c55cae	migrate	script parses a broker status column that no longer exists (awk NR== empty)	R4 NOK	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_11_2h/bug_bts_5423	FAIL @02b9bb4b0/2c2c55cae	migrate	candidate3847c492c; validation pending	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_11_2h/bug_bts_5783	PASS @02b9bb4b0/2c2c55cae	pass	passed on baseline 02b9bb4b0/2c2c55cae, no change	PASS @02b9bb4b0/2c2c55cae (wf223-repro report_cases.tsv)	
_06_issues/_11_2h/bug_bts_6199	FAIL @02b9bb4b0/2c2c55cae	retire	CAS20M process recycling/restart counter only	EXCLUDED by conf in gate2 R4 (runner honoured exclusion)	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_11_2h/bug_bts_6347	FAIL @02b9bb4b0/2c2c55cae	migrate	candidate3847c492c; validation pending	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_12_1h/bug_bts_6364	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_12_1h/bug_bts_6779	FAIL @02b9bb4b0/f926e0ee6 (original case unchanged)	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_12_1h/bug_bts_6910	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_12_2h/bug_bts_10045	FAIL @02b9bb4b0/2c2c55cae	retire	CAS process memory hard limit only	EXCLUDED by conf in gate2 R4 (runner honoured exclusion)	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_12_2h/bug_bts_10260	FAIL @02b9bb4b0/2c2c55cae	retire	CAS process memory hard-limit range only	EXCLUDED by conf in gate2 R4 (runner honoured exclusion)	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_12_2h/bug_bts_7549	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_12_2h/bug_bts_7666	FAIL @02b9bb4b0/2c2c55cae	migrate	retire only CAS memory recycling log check (policy 209); other 4 checks kept	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_12_2h/bug_bts_7956	FAIL @02b9bb4b0/2c2c55cae	migrate	assumes broker1_1.sql.log exists at broker start	R4 NOK	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_12_2h/bug_bts_8351	PASS @02b9bb4b0/2c2c55cae	pass	passed on baseline 02b9bb4b0/2c2c55cae, no change	PASS @02b9bb4b0/2c2c55cae (wf223-repro report_cases.tsv)	
_06_issues/_12_2h/bug_bts_8907	FAIL @02b9bb4b0/2c2c55cae	needs-info	ctp-run injects a prebuilt locale .so (make_locale skipped) so the case cannot run locally; CI symptom differs (8907: CCI -20004 after restart, 12148: euckr locale)	cannot run locally	
_06_issues/_12_2h/bug_bts_8973	PASS @02b9bb4b0/2c2c55cae	pass	passed on baseline 02b9bb4b0/2c2c55cae, no change	PASS @02b9bb4b0/2c2c55cae (wf223-repro report_cases.tsv)	
_06_issues/_12_2h/bug_bts_9478	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_12_2h/bug_bts_9602_1	FAIL @02b9bb4b0/2c2c55cae	migrate	front-end status filter	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_12_2h/bug_bts_9602_3	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_13_1h/bug_bts_10181	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_13_1h/bug_bts_10235	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_13_1h/bug_bts_10502	FAIL @02b9bb4b0/2c2c55cae	migrate	candidate3847c492c; validation pending	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_13_1h/bug_bts_10503	FAIL @02b9bb4b0/f926e0ee6 (original case unchanged)	migrate	candidate3847c492c; validation pending	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_13_1h/bug_bts_10505	FAIL @02b9bb4b0/2c2c55cae	migrate	candidate3847c492c; validation pending	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_13_1h/bug_bts_10507	FAIL @02b9bb4b0/2c2c55cae	migrate	candidate3847c492c; validation pending	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_13_1h/bug_bts_10509	FAIL @02b9bb4b0/2c2c55cae	migrate	candidate3847c492c; validation pending	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_13_1h/bug_bts_10519	FAIL @02b9bb4b0/2c2c55cae	migrate	candidate3847c492c; validation pending	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_13_1h/bug_bts_10521	FAIL @02b9bb4b0/2c2c55cae	migrate	candidate3847c492c; validation pending	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_13_1h/bug_bts_10773	FAIL @02b9bb4b0/2c2c55cae	migrate	keep client reconnect answer; retire CAS error-log check (session dies with server, #121 D6)	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_13_1h/bug_bts_11524	FAIL @02b9bb4b0/f926e0ee6 (original case unchanged)	migrate	live advertised driver version + row removal	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_13_1h/bug_bts_9655	FAIL @02b9bb4b0/2c2c55cae	flaky	one fewer ACTIVE tran in tranlist sample (timing); repeat-N needed	R4 NOK	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_13_2h/bug_bts_12003	FAIL @02b9bb4b0/2c2c55cae	migrate	retain ordinary lifecycle/collisions; retire SHARD subcase	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_13_2h/bug_bts_12148	FAIL @02b9bb4b0/2c2c55cae	needs-info	ctp-run injects a prebuilt locale .so (make_locale skipped) so the case cannot run locally; CI symptom differs (8907: CCI -20004 after restart, 12148: euckr locale)	cannot run locally	
_06_issues/_14_1h/bug_bts_10046	FAIL @02b9bb4b0/2c2c55cae	retire	CAS process memory limits only	EXCLUDED by conf in gate2 R4 (runner honoured exclusion)	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_14_1h/bug_bts_10047	FAIL @02b9bb4b0/2c2c55cae	migrate	candidate3847c492c; validation pending	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_14_1h/bug_bts_11649	FAIL @02b9bb4b0/2c2c55cae	product fix	engine d40b9c85b: changer out-of-range answer restored (fold regression from 222 path)	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_14_1h/bug_bts_11650	FAIL @02b9bb4b0/f926e0ee6 (original case unchanged)	retire	SHARD runtime thresholds only	EXCLUDED by conf in gate2 R4 (runner honoured exclusion)	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_14_1h/bug_bts_11932	FAIL @02b9bb4b0/2c2c55cae	retire	SHARD insert only	EXCLUDED by conf in gate2 R4 (runner honoured exclusion)	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_14_1h/bug_bts_12558	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_14_1h/bug_bts_12953	FAIL @02b9bb4b0/2c2c55cae	retire	SHARD DDL/reconnect only	EXCLUDED by conf in gate2 R4 (runner honoured exclusion)	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_14_1h/bug_bts_13339	FAIL @02b9bb4b0/2c2c55cae	product fix	engine e70167345: in-process login recorded for SHOW ACCESS STATUS	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_14_1h/bug_bts_13357	FAIL @02b9bb4b0/2c2c55cae	blocked on 224	csql histogram commands are owned by ticket 224; re-run after it lands	pending	
_06_issues/_14_1h/bug_bts_13390	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_14_1h/bug_bts_13392	FAIL @02b9bb4b0/f926e0ee6 (original case unchanged)	product gap	session intl_date_lang/intl_number_lang/intl_collation empty in folded session (class of #159 client-only params)	R4 NOK	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_14_2h/bug_bts_13265	FAIL @02b9bb4b0/2c2c55cae	migrate	two live sessions; preserve isolation APIs	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_14_2h/bug_bts_13994/err_log_dir	FAIL @02b9bb4b0/2c2c55cae	product fix	engine d40b9c85b: same-as-previous and absolute dir normalization restored	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_14_2h/bug_bts_13994/max_prepared_stmt_count	FAIL @02b9bb4b0/2c2c55cae	product fix	engine d40b9c85b: out-of-range / same-as-previous / cannot-decrease answers restored	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
